A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class
1,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,1
1,0,0,1,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,1
1,0,0,1,0,0,0,1,1,0,0,1
1,0,0,1,0,0,0,1,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,1
1,0,0,1,0,0,0,1,1,1,1,1
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,1,1,0
1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,1,0,1,0
1,0,0,1,0,0,1,0,1,1,0,0
1,0,0,1,0,0,1,0,1,1,1,0
1,0,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,1,1,0,1,0,1
1,0,0,1,0,0,1,1,0,1,1,1
1,0,0,1,0,0,1,1,1,0,0,1
1,0,0,1,0,0,1,1,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,1
1,0,0,1,0,0,1,1,1,1,1,1
1,0,0,1,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,0,1,1,0
1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0
1,0,0,1,0,1,0,0,1,1,1,0
1,0,0,1,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,1,0,0,1,1
1,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,1,1
1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,1,1
1,0,0,1,0,1,0,1,1,1,0,1
1,0,0,1,0,1,0,1,1,1,1,1
1,0,0,1,0,1,1,0,0,0,0,0
1,0,0,1,0,1,1,0,0,0,1,0
1,0,0,1,0,1,1,0,0,1,0,0
1,0,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,0
1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,1,1,0,0
1,0,0,1,0,1,1,0,1,1,1,0
1,0,0,1,0,1,1,1,0,0,0,1
1,0,0,1,0,1,1,1,0,0,1,1
1,0,0,1,0,1,1,1,0,1,0,1
1,0,0,1,0,1,1,1,0,1,1,1
1,0,0,1,0,1,1,1,1,0,0,1
1,0,0,1,0,1,1,1,1,0,1,1
1,0,0,1,0,1,1,1,1,1,0,1
1,0,0,1,0,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,1,1,0
1,0,0,1,1,0,0,0,1,0,0,0
1,0,0,1,1,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,1,1,1,0
1,0,0,1,1,0,0,1,0,0,0,1
1,0,0,1,1,0,0,1,0,0,1,1
1,0,0,1,1,0,0,1,0,1,0,1
1,0,0,1,1,0,0,1,0,1,1,1
1,0,0,1,1,0,0,1,1,0,0,1
1,0,0,1,1,0,0,1,1,0,1,1
1,0,0,1,1,0,0,1,1,1,0,1
1,0,0,1,1,0,0,1,1,1,1,1
1,0,0,1,1,0,1,0,0,0,0,0
1,0,0,1,1,0,1,0,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,0
1,0,0,1,1,0,1,0,0,1,1,0
1,0,0,1,1,0,1,0,1,0,0,0
1,0,0,1,1,0,1,0,1,0,1,0
1,0,0,1,1,0,1,0,1,1,0,0
1,0,0,1,1,0,1,0,1,1,1,0
1,0,0,1,1,0,1,1,0,0,0,1
1,0,0,1,1,0,1,1,0,0,1,1
1,0,0,1,1,0,1,1,0,1,0,1
1,0,0,1,1,0,1,1,0,1,1,1
1,0,0,1,1,0,1,1,1,0,0,1
1,0,0,1,1,0,1,1,1,0,1,1
1,0,0,1,1,0,1,1,1,1,0,1
1,0,0,1,1,0,1,1,1,1,1,1
1,0,0,1,1,1,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,1,1,0
1,0,0,1,1,1,0,0,1,0,0,0
1,0,0,1,1,1,0,0,1,0,1,0
1,0,0,1,1,1,0,0,1,1,0,0
1,0,0,1,1,1,0,0,1,1,1,0
1,0,0,1,1,1,0,1,0,0,0,1
1,0,0,1,1,1,0,1,0,0,1,1
1,0,0,1,1,1,0,1,0,1,0,1
1,0,0,1,1,1,0,1,0,1,1,1
1,0,0,1,1,1,0,1,1,0,0,1
1,0,0,1,1,1,0,1,1,0,1,1
1,0,0,1,1,1,0,1,1,1,0,1
1,0,0,1,1,1,0,1,1,1,1,1
1,0,0,1,1,1,1,0,0,0,0,0
1,0,0,1,1,1,1,0,0,0,1,0
1,0,0,1,1,1,1,0,0,1,0,0
1,0,0,1,1,1,1,0,0,1,1,0
1,0,0,1,1,1,1,0,1,0,0,0
1,0,0,1,1,1,1,0,1,0,1,0
1,0,0,1,1,1,1,0,1,1,0,0
1,0,0,1,1,1,1,0,1,1,1,0
1,0,0,1,1,1,1,1,0,0,0,1
1,0,0,1,1,1,1,1,0,0,1,1
1,0,0,1,1,1,1,1,0,1,0,1
1,0,0,1,1,1,1,1,0,1,1,1
1,0,0,1,1,1,1,1,1,0,0,1
1,0,0,1,1,1,1,1,1,0,1,1
1,0,0,1,1,1,1,1,1,1,0,1
1,0,0,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1,0,1,1
1,0,1,0,0,0,0,0,1,1,0,1
1,0,1,0,0,0,0,0,1,1,1,1
1,0,1,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0
1,0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,1,0,1,1,0
1,0,1,0,0,0,0,1,1,0,0,1
1,0,1,0,0,0,0,1,1,0,1,1
1,0,1,0,0,0,0,1,1,1,0,1
1,0,1,0,0,0,0,1,1,1,1,1
1,0,1,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,1,0,1,0,1,1
1,0,1,0,0,0,1,0,1,1,0,1
1,0,1,0,0,0,1,0,1,1,1,1
1,0,1,0,0,0,1,1,0,0,0,0
1,0,1,0,0,0,1,1,0,0,1,0
1,0,1,0,0,0,1,1,0,1,0,0
1,0,1,0,0,0,1,1,0,1,1,0
1,0,1,0,0,0,1,1,1,0,0,1
1,0,1,0,0,0,1,1,1,0,1,1
1,0,1,0,0,0,1,1,1,1,0,1
1,0,1,0,0,0,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,1,1,0
1,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1,0,1,1
1,0,1,0,0,1,0,0,1,1,0,1
1,0,1,0,0,1,0,0,1,1,1,1
1,0,1,0,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,0,0,1,0
1,0,1,0,0,1,0,1,0,1,0,0
1,0,1,0,0,1,0,1,0,1,1,0
1,0,1,0,0,1,0,1,1,0,0,1
1,0,1,0,0,1,0,1,1,0,1,1
1,0,1,0,0,1,0,1,1,1,0,1
1,0,1,0,0,1,0,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,1,0
1,0,1,0,0,1,1,0,0,1,0,0
1,0,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,1
1,0,1,0,0,1,1,0,1,1,0,1
1,0,1,0,0,1,1,0,1,1,1,1
1,0,1,0,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,1,0
1,0,1,0,0,1,1,1,0,1,0,0
1,0,1,0,0,1,1,1,0,1,1,0
1,0,1,0,0,1,1,1,1,0,0,1
1,0,1,0,0,1,1,1,1,0,1,1
1,0,1,0,0,1,1,1,1,1,0,1
1,0,1,0,0,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,1,0,1,1
1,0,1,0,1,0,0,0,1,1,0,1
1,0,1,0,1,0,0,0,1,1,1,1
1,0,1,0,1,0,0,1,0,0,0,0
1,0,1,0,1,0,0,1,0,0,1,0
1,0,1,0,1,0,0,1,0,1,0,0
1,0,1,0,1,0,0,1,0,1,1,0
1,0,1,0,1,0,0,1,1,0,0,1
1,0,1,0,1,0,0,1,1,0,1,1
1,0,1,0,1,0,0,1,1,1,0,1
1,0,1,0,1,0,0,1,1,1,1,1
1,0,1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,1,0,1,0,0,1,0,0
1,0,1,0,1,0,1,0,0,1,1,0
1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,1
1,0,1,0,1,0,1,0,1,1,0,1
1,0,1,0,1,0,1,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0,0,0
1,0,1,0,1,0,1,1,0,0,1,0
1,0,1,0,1,0,1,1,0,1,0,0
1,0,1,0,1,0,1,1,0,1,1,0
1,0,1,0,1,0,1,1,1,0,0,1
1,0,1,0,1,0,1,1,1,0,1,1
1,0,1,0,1,0,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,1,1,1
1,0,1,0,1,1,0,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,1,0
1,0,1,0,1,1,0,0,0,1,0,0
1,0,1,0,1,1,0,0,0,1,1,0
1,0,1,0,1,1,0,0,1,0,0,1
1,0,1,0,1,1,0,0,1,0,1,1
1,0,1,0,1,1,0,0,1,1,0,1
1,0,1,0,1,1,0,0,1,1,1,1
1,0,1,0,1,1,0,1,0,0,0,0
1,0,1,0,1,1,0,1,0,0,1,0
1,0,1,0,1,1,0,1,0,1,0,0
1,0,1,0,1,1,0,1,0,1,1,0
1,0,1,0,1,1,0,1,1,0,0,1
1,0,1,0,1,1,0,1,1,0,1,1
1,0,1,0,1,1,0,1,1,1,0,1
1,0,1,0,1,1,0,1,1,1,1,1
1,0,1,0,1,1,1,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,1,0
1,0,1,0,1,1,1,0,0,1,0,0
1,0,1,0,1,1,1,0,0,1,1,0
1,0,1,0,1,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0,1,0,1,1
1,0,1,0,1,1,1,0,1,1,0,1
1,0,1,0,1,1,1,0,1,1,1,1
1,0,1,0,1,1,1,1,0,0,0,0
1,0,1,0,1,1,1,1,0,0,1,0
1,0,1,0,1,1,1,1,0,1,0,0
1,0,1,0,1,1,1,1,0,1,1,0
1,0,1,0,1,1,1,1,1,0,0,1
1,0,1,0,1,1,1,1,1,0,1,1
1,0,1,0,1,1,1,1,1,1,0,1
1,0,1,0,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,0,0,0,0,0,1,1,0
1,0,1,1,0,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0,1,0,1,1
1,0,1,1,0,0,0,0,1,1,0,1
1,0,1,1,0,0,0,0,1,1,1,1
1,0,1,1,0,0,0,1,0,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0
1,0,1,1,0,0,0,1,0,1,0,0
1,0,1,1,0,0,0,1,0,1,1,0
1,0,1,1,0,0,0,1,1,0,0,1
1,0,1,1,0,0,0,1,1,0,1,1
1,0,1,1,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,1,1,1,1,1
1,0,1,1,0,0,1,0,0,0,0,0
1,0,1,1,0,0,1,0,0,0,1,0
1,0,1,1,0,0,1,0,0,1,0,0
1,0,1,1,0,0,1,0,0,1,1,0
1,0,1,1,0,0,1,0,1,0,0,1
1,0,1,1,0,0,1,0,1,0,1,1
1,0,1,1,0,0,1,0,1,1,0,1
1,0,1,1,0,0,1,0,1,1,1,1
1,0,1,1,0,0,1,1,0,0,0,0
1,0,1,1,0,0,1,1,0,0,1,0
1,0,1,1,0,0,1,1,0,1,0,0
1,0,1,1,0,0,1,1,0,1,1,0
1,0,1,1,0,0,1,1,1,0,0,1
1,0,1,1,0,0,1,1,1,0,1,1
1,0,1,1,0,0,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1,1,1,1
1,0,1,1,0,1,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,1,1,0
1,0,1,1,0,1,0,0,1,0,0,1
1,0,1,1,0,1,0,0,1,0,1,1
1,0,1,1,0,1,0,0,1,1,0,1
1,0,1,1,0,1,0,0,1,1,1,1
1,0,1,1,0,1,0,1,0,0,0,0
1,0,1,1,0,1,0,1,0,0,1,0
1,0,1,1,0,1,0,1,0,1,0,0
1,0,1,1,0,1,0,1,0,1,1,0
1,0,1,1,0,1,0,1,1,0,0,1
1,0,1,1,0,1,0,1,1,0,1,1
1,0,1,1,0,1,0,1,1,1,0,1
1,0,1,1,0,1,0,1,1,1,1,1
1,0,1,1,0,1,1,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,1,0
1,0,1,1,0,1,1,0,0,1,0,0
1,0,1,1,0,1,1,0,0,1,1,0
1,0,1,1,0,1,1,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0,1,1
1,0,1,1,0,1,1,0,1,1,0,1
1,0,1,1,0,1,1,0,1,1,1,1
1,0,1,1,0,1,1,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,1,0
1,0,1,1,0,1,1,1,0,1,0,0
1,0,1,1,0,1,1,1,0,1,1,0
1,0,1,1,0,1,1,1,1,0,0,1
1,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,1,1,0,1
1,0,1,1,0,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,1,0
1,0,1,1,1,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,1,1,0
1,0,1,1,1,0,0,0,1,0,0,1
1,0,1,1,1,0,0,0,1,0,1,1
1,0,1,1,1,0,0,0,1,1,0,1
1,0,1,1,1,0,0,0,1,1,1,1
1,0,1,1,1,0,0,1,0,0,0,0
1,0,1,1,1,0,0,1,0,0,1,0
1,0,1,1,1,0,0,1,0,1,0,0
1,0,1,1,1,0,0,1,0,1,1,0
1,0,1,1,1,0,0,1,1,0,0,1
1,0,1,1,1,0,0,1,1,0,1,1
1,0,1,1,1,0,0,1,1,1,0,1
1,0,1,1,1,0,0,1,1,1,1,1
1,0,1,1,1,0,1,0,0,0,0,0
1,0,1,1,1,0,1,0,0,0,1,0
1,0,1,1,1,0,1,0,0,1,0,0
1,0,1,1,1,0,1,0,0,1,1,0
1,0,1,1,1,0,1,0,1,0,0,1
1,0,1,1,1,0,1,0,1,0,1,1
1,0,1,1,1,0,1,0,1,1,0,1
1,0,1,1,1,0,1,0,1,1,1,1
1,0,1,1,1,0,1,1,0,0,0,0
1,0,1,1,1,0,1,1,0,0,1,0
1,0,1,1,1,0,1,1,0,1,0,0
1,0,1,1,1,0,1,1,0,1,1,0
1,0,1,1,1,0,1,1,1,0,0,1
1,0,1,1,1,0,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,1,0,1
1,0,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,0,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0,1,0
1,0,1,1,1,1,0,0,0,1,0,0
1,0,1,1,1,1,0,0,0,1,1,0
1,0,1,1,1,1,0,0,1,0,0,1
1,0,1,1,1,1,0,0,1,0,1,1
1,0,1,1,1,1,0,0,1,1,0,1
1,0,1,1,1,1,0,0,1,1,1,1
1,0,1,1,1,1,0,1,0,0,0,0
1,0,1,1,1,1,0,1,0,0,1,0
1,0,1,1,1,1,0,1,0,1,0,0
1,0,1,1,1,1,0,1,0,1,1,0
1,0,1,1,1,1,0,1,1,0,0,1
1,0,1,1,1,1,0,1,1,0,1,1
1,0,1,1,1,1,0,1,1,1,0,1
1,0,1,1,1,1,0,1,1,1,1,1
1,0,1,1,1,1,1,0,0,0,0,0
1,0,1,1,1,1,1,0,0,0,1,0
1,0,1,1,1,1,1,0,0,1,0,0
1,0,1,1,1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,0,1,0,0,1
1,0,1,1,1,1,1,0,1,0,1,1
1,0,1,1,1,1,1,0,1,1,0,1
1,0,1,1,1,1,1,0,1,1,1,1
1,0,1,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,1,1,0,0,1,0
1,0,1,1,1,1,1,1,0,1,0,0
1,0,1,1,1,1,1,1,0,1,1,0
1,0,1,1,1,1,1,1,1,0,0,1
1,0,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,1,1,0,1
1,1,0,0,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,0,0,1,0,1,1,1
1,1,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,1,1,0,1,0
1,1,0,0,0,0,0,1,1,1,0,1
1,1,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,1,0
1,1,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,1,0,0,1,1,1
1,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,1,0,1,0
1,1,0,0,0,0,1,0,1,1,0,1
1,1,0,0,0,0,1,0,1,1,1,1
1,1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,1,0
1,1,0,0,0,0,1,1,0,1,0,1
1,1,0,0,0,0,1,1,0,1,1,1
1,1,0,0,0,0,1,1,1,0,0,0
1,1,0,0,0,0,1,1,1,0,1,0
1,1,0,0,0,0,1,1,1,1,0,1
1,1,0,0,0,0,1,1,1,1,1,1
1,1,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,1,0
1,1,0,0,0,1,0,0,0,1,0,1
1,1,0,0,0,1,0,0,0,1,1,1
1,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,1,0,1,0
1,1,0,0,0,1,0,0,1,1,0,1
1,1,0,0,0,1,0,0,1,1,1,1
1,1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,1,0,1,0,0,1,0
1,1,0,0,0,1,0,1,0,1,0,1
1,1,0,0,0,1,0,1,0,1,1,1
1,1,0,0,0,1,0,1,1,0,0,0
1,1,0,0,0,1,0,1,1,0,1,0
1,1,0,0,0,1,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,1,0
1,1,0,0,0,1,1,0,0,1,0,1
1,1,0,0,0,1,1,0,0,1,1,1
1,1,0,0,0,1,1,0,1,0,0,0
1,1,0,0,0,1,1,0,1,0,1,0
1,1,0,0,0,1,1,0,1,1,0,1
1,1,0,0,0,1,1,0,1,1,1,1
1,1,0,0,0,1,1,1,0,0,0,0
1,1,0,0,0,1,1,1,0,0,1,0
1,1,0,0,0,1,1,1,0,1,0,1
1,1,0,0,0,1,1,1,0,1,1,1
1,1,0,0,0,1,1,1,1,0,0,0
1,1,0,0,0,1,1,1,1,0,1,0
1,1,0,0,0,1,1,1,1,1,0,1
1,1,0,0,0,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,1,0,1,0
1,1,0,0,1,0,0,0,1,1,0,1
1,1,0,0,1,0,0,0,1,1,1,1
1,1,0,0,1,0,0,1,0,0,0,0
1,1,0,0,1,0,0,1,0,0,1,0
1,1,0,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,1,0,1,1,1
1,1,0,0,1,0,0,1,1,0,0,0
1,1,0,0,1,0,0,1,1,0,1,0
1,1,0,0,1,0,0,1,1,1,0,1
1,1,0,0,1,0,0,1,1,1,1,1
1,1,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0,1,0
1,1,0,0,1,0,1,0,0,1,0,1
1,1,0,0,1,0,1,0,0,1,1,1
1,1,0,0,1,0,1,0,1,0,0,0
1,1,0,0,1,0,1,0,1,0,1,0
1,1,0,0,1,0,1,0,1,1,0,1
1,1,0,0,1,0,1,0,1,1,1,1
1,1,0,0,1,0,1,1,0,0,0,0
1,1,0,0,1,0,1,1,0,0,1,0
1,1,0,0,1,0,1,1,0,1,0,1
1,1,0,0,1,0,1,1,0,1,1,1
1,1,0,0,1,0,1,1,1,0,0,0
1,1,0,0,1,0,1,1,1,0,1,0
1,1,0,0,1,0,1,1,1,1,0,1
1,1,0,0,1,0,1,1,1,1,1,1
1,1,0,0,1,1,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,1,0
1,1,0,0,1,1,0,0,0,1,0,1
1,1,0,0,1,1,0,0,0,1,1,1
1,1,0,0,1,1,0,0,1,0,0,0
1,1,0,0,1,1,0,0,1,0,1,0
1,1,0,0,1,1,0,0,1,1,0,1
1,1,0,0,1,1,0,0,1,1,1,1
1,1,0,0,1,1,0,1,0,0,0,0
1,1,0,0,1,1,0,1,0,0,1,0
1,1,0,0,1,1,0,1,0,1,0,1
1,1,0,0,1,1,0,1,0,1,1,1
1,1,0,0,1,1,0,1,1,0,0,0
1,1,0,0,1,1,0,1,1,0,1,0
1,1,0,0,1,1,0,1,1,1,0,1
1,1,0,0,1,1,0,1,1,1,1,1
1,1,0,0,1,1,1,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,1,0
1,1,0,0,1,1,1,0,0,1,0,1
1,1,0,0,1,1,1,0,0,1,1,1
1,1,0,0,1,1,1,0,1,0,0,0
1,1,0,0,1,1,1,0,1,0,1,0
1,1,0,0,1,1,1,0,1,1,0,1
1,1,0,0,1,1,1,0,1,1,1,1
1,1,0,0,1,1,1,1,0,0,0,0
1,1,0,0,1,1,1,1,0,0,1,0
1,1,0,0,1,1,1,1,0,1,0,1
1,1,0,0,1,1,1,1,0,1,1,1
1,1,0,0,1,1,1,1,1,0,0,0
1,1,0,0,1,1,1,1,1,0,1,0
1,1,0,0,1,1,1,1,1,1,0,1
1,1,0,0,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,0,1,0,1
1,1,0,1,0,0,0,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,0,1,0,0,0,0,1,1,0,1
1,1,0,1,0,0,0,0,1,1,1,1
1,1,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,0,0,1,0,0,1,0
1,1,0,1,0,0,0,1,0,1,0,1
1,1,0,1,0,0,0,1,0,1,1,1
1,1,0,1,0,0,0,1,1,0,0,0
1,1,0,1,0,0,0,1,1,0,1,0
1,1,0,1,0,0,0,1,1,1,0,1
1,1,0,1,0,0,0,1,1,1,1,1
1,1,0,1,0,0,1,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,1,0
1,1,0,1,0,0,1,0,0,1,0,1
1,1,0,1,0,0,1,0,0,1,1,1
1,1,0,1,0,0,1,0,1,0,0,0
1,1,0,1,0,0,1,0,1,0,1,0
1,1,0,1,0,0,1,0,1,1,0,1
1,1,0,1,0,0,1,0,1,1,1,1
1,1,0,1,0,0,1,1,0,0,0,0
1,1,0,1,0,0,1,1,0,0,1,0
1,1,0,1,0,0,1,1,0,1,0,1
1,1,0,1,0,0,1,1,0,1,1,1
1,1,0,1,0,0,1,1,1,0,0,0
1,1,0,1,0,0,1,1,1,0,1,0
1,1,0,1,0,0,1,1,1,1,0,1
1,1,0,1,0,0,1,1,1,1,1,1
1,1,0,1,0,1,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,1,0
1,1,0,1,0,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,1,1,1
1,1,0,1,0,1,0,0,1,0,0,0
1,1,0,1,0,1,0,0,1,0,1,0
1,1,0,1,0,1,0,0,1,1,0,1
1,1,0,1,0,1,0,0,1,1,1,1
1,1,0,1,0,1,0,1,0,0,0,0
1,1,0,1,0,1,0,1,0,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1,1,1
1,1,0,1,0,1,0,1,1,0,0,0
1,1,0,1,0,1,0,1,1,0,1,0
1,1,0,1,0,1,0,1,1,1,0,1
1,1,0,1,0,1,0,1,1,1,1,1
1,1,0,1,0,1,1,0,0,0,0,0
1,1,0,1,0,1,1,0,0,0,1,0
1,1,0,1,0,1,1,0,0,1,0,1
1,1,0,1,0,1,1,0,0,1,1,1
1,1,0,1,0,1,1,0,1,0,0,0
1,1,0,1,0,1,1,0,1,0,1,0
1,1,0,1,0,1,1,0,1,1,0,1
1,1,0,1,0,1,1,0,1,1,1,1
1,1,0,1,0,1,1,1,0,0,0,0
1,1,0,1,0,1,1,1,0,0,1,0
1,1,0,1,0,1,1,1,0,1,0,1
1,1,0,1,0,1,1,1,0,1,1,1
1,1,0,1,0,1,1,1,1,0,0,0
1,1,0,1,0,1,1,1,1,0,1,0
1,1,0,1,0,1,1,1,1,1,0,1
1,1,0,1,0,1,1,1,1,1,1,1
1,1,0,1,1,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,1,0
1,1,0,1,1,0,0,0,0,1,0,1
1,1,0,1,1,0,0,0,0,1,1,1
1,1,0,1,1,0,0,0,1,0,0,0
1,1,0,1,1,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,1,1,0,1
1,1,0,1,1,0,0,0,1,1,1,1
1,1,0,1,1,0,0,1,0,0,0,0
1,1,0,1,1,0,0,1,0,0,1,0
1,1,0,1,1,0,0,1,0,1,0,1
1,1,0,1,1,0,0,1,0,1,1,1
1,1,0,1,1,0,0,1,1,0,0,0
